symbol,entry_time,exit_time,hours_held,entry_apr,long_funding_total_usd,long_funding_payment_count,long_funding_interval_hours,long_avg_payment_usd,short_funding_total_usd,short_funding_payment_count,short_funding_interval_hours,short_avg_payment_usd,net_funding_usd,net_funding_pct,long_price_pnl_usd,short_price_pnl_usd,total_price_pnl_usd,entry_fees_usd,exit_fees_usd,total_fees_usd,realized_pnl_usd,realized_pnl_pct,episode
SUPERUSDT,2025-12-03 01:30:00+00:00,2025-12-03 05:55:00+00:00,4.416666666666667,3149.93832,0.14118636064400716,4,1,0.03529659016100179,-0.12862263377459748,4,1,-0.03215565844364937,0.01256372686940968,0.0628186343470484,-0.3825717321997866,0.28912179255511417,-0.09344993964467246,0.008,0.021260107334525942,0.029260107334525942,-0.21705416221824472,-1.0852708110912237,1
PIPPINUSDT,2025-12-03 08:30:00+00:00,2025-12-03 14:05:00+00:00,5.583333333333333,6559.80336,0.7386275278118225,6,1,0.12310458796863709,-0.5619111903365702,6,1,-0.09365186505609503,0.17671633747525228,0.8835816873762614,-1.019622396437352,0.9213741555268073,-0.09824824091054456,0.008,0.019863156406146887,0.027863156406146887,-0.11040956994437634,-0.5520478497218817,1
PIPPINUSDT,2025-12-03 17:30:00+00:00,2025-12-04 10:30:00+00:00,17.0,3568.75392,1.5479637996124265,17,1,0.09105669409484862,-1.323102973899352,17,1,-0.07782958669996189,0.22486082571307442,1.124304128565372,2.2834739929370933,-2.2574912678472954,0.025982725089798108,0.008,0.026995397565554413,0.03499539756555441,0.348528299824381,1.7426414991219048,1
PIPPINUSDT,2025-12-04 16:30:00+00:00,2025-12-04 20:05:00+00:00,3.5833333333333335,4758.0378,0.4145665131888614,4,1,0.10364162829721535,-0.35833582229393274,4,1,-0.08958395557348318,0.05623069089492866,0.2811534544746433,0.2440225419926695,-0.32031692133559697,-0.07629437934292746,0.008,0.022619356274515265,0.030619356274515265,-0.1079185844270709,-0.5395929221353546,1
REDUSDT,2025-12-05 00:30:00+00:00,2025-12-05 10:05:00+00:00,9.583333333333334,2820.65868,0.25531000817228044,10,1,0.025531000817228044,-0.08938225591754097,2,4,-0.044691127958770484,0.1659277522547395,0.8296387612736975,-0.20117044623262437,0.1111522786217098,-0.09001816761091455,0.008,0.021655807104730355,0.029655807104730356,-0.047788426651942065,-0.2389421332597103,1
AIAUSDT,2025-12-05 10:30:00+00:00,2025-12-05 11:40:00+00:00,1.1666666666666667,2680.23588,-0.0002538483067450322,1,1,-0.0002538483067450322,0.03852293691575707,1,1,0.03852293691575707,0.038269088609012035,0.19134544304506018,-0.17089305402425686,0.23877202956225183,0.06787897553799498,0.008,0.021550517772180238,0.029550517772180238,0.1318643866778606,0.659321933389303,1
CVCUSDT,2025-12-05 12:45:00+00:00,2025-12-05 16:00:00+00:00,3.25,2774.87892,0.46343051343798525,4,1,0.11585762835949631,-0.5022425392444368,1,8,-0.5022425392444368,-0.0388120258064516,-0.194060129032258,-0.3777508230809209,-0.02575991756826452,-0.40351074064918535,0.008,0.02161480075901329,0.02961480075901329,-0.872290894186648,-4.361454470933239,1
CVCUSDT,2025-12-05 16:30:00+00:00,2025-12-05 20:35:00+00:00,4.083333333333333,3845.42976,0.3986277026011561,4,1,0.09965692565028902,-0.2203297011199422,4,1,-0.05508242527998555,0.17829800148121389,0.8914900074060695,-0.0035707909301908917,-0.08590751233778071,-0.0894783032679716,0.008,0.022089414739884395,0.030089414739884395,-0.028814534645952804,-0.14407267322976403,1
LUNA2USDT,2025-12-05 20:40:00+00:00,2025-12-06 09:15:00+00:00,12.583333333333334,8265.26148,1.6991300514216323,13,1,0.13070231164781787,-0.7834199857627403,13,1,-0.0602630758279031,0.915710065658892,4.57855032829446,-0.794674605143471,0.7507634882931792,-0.04391111685029179,0.008,0.020299401197604795,0.028299401197604795,0.7601128126125377,3.8005640630626885,1
PIPPINUSDT,2025-12-06 09:30:00+00:00,2025-12-06 11:05:00+00:00,1.5833333333333333,4262.71236,0.13008076084869824,2,1,0.06504038042434912,-0.11810594348929865,2,1,-0.059052971744649324,0.011974817359399592,0.05987408679699796,-0.9010096575943806,0.6710728904577724,-0.2299367671366081,0.008,0.0202673955341425,0.028267395534142502,-0.5173580835949199,-2.5867904179745995,1
PIPPINUSDT,2025-12-06 11:30:00+00:00,2025-12-06 15:35:00+00:00,4.083333333333333,3769.2966,0.2087204653537261,4,1,0.052180116338431524,-0.1527848997945504,4,1,-0.0381962249486376,0.0559355655591757,0.2796778277958785,0.2828639461367942,-0.36677997398128326,-0.08391602784448902,0.008,0.022713594952995624,0.030713594952995624,-0.12834641920849718,-0.6417320960424859,1
AIAUSDT,2025-12-06 15:40:00+00:00,2025-12-06 21:00:00+00:00,5.333333333333333,3243.4338,0.05328321599086236,6,1,0.00888053599847706,0.154497635636779,6,1,0.02574960593946317,0.20778085162764137,1.0389042581382069,-0.1413525498891351,0.1619552414605419,0.020602691571406838,0.008,0.021667047401484868,0.029667047401484868,0.20095789331810457,1.0047894665905228,1
PIPPINUSDT,2025-12-06 21:30:00+00:00,2025-12-07 02:30:00+00:00,5.0,14016.56064,1.8750617092213546,5,1,0.3750123418442709,-0.7923833113315044,5,1,-0.1584766622663009,1.0826783978898502,5.413391989449251,-3.6879166666666663,3.53014108593416,-0.15777558073250617,0.008,0.01405790251107829,0.022057902511078288,0.5592488979953592,2.7962444899767958,1
DOODUSDT,2025-12-07 02:35:00+00:00,2025-12-07 11:00:00+00:00,8.416666666666666,4792.21056,0.6331506627847235,9,1,0.07035007364274706,-0.3393389921219387,9,1,-0.037704332457993185,0.29381167066278485,1.4690583533139243,-1.087362171331637,1.0063980632889504,-0.08096410804268661,0.008,0.019696009590683336,0.027696009590683336,0.06402626220243181,0.3201313110121591,1
MOODENGUSDT,2025-12-07 11:55:00+00:00,2025-12-07 20:30:00+00:00,8.583333333333334,2716.64682,0.5215634959373328,9,1,0.05795149954859253,-0.34490070549311547,3,4,-0.11496690183103848,0.1766627904442173,0.8833139522210866,-0.692031447151315,0.7131707317073168,0.021139284556001846,0.008,0.020454337566292027,0.028454337566292027,0.1832398351578843,0.9161991757894216,1
AIAUSDT,2025-12-07 20:35:00+00:00,2025-12-07 22:05:00+00:00,1.5,3574.13256,0.007955116451902906,2,1,0.003977558225951453,0.05564988912196585,2,1,0.027824944560982924,0.06360500557386875,0.3180250278693438,-0.31375935521013143,0.39374999999999993,0.07999064478986848,0.008,0.021225352112676062,0.029225352112676063,0.1362675767455819,0.6813378837279095,1
SAHARAUSDT,2025-12-08 00:30:00+00:00,2025-12-08 01:05:00+00:00,0.5833333333333334,2722.63209,0.07242379919586442,1,1,0.07242379919586442,0.0,0,4,0.0,0.07242379919586442,0.36211899597932207,0.08304696449026305,-0.043202764976957755,0.039844199513305305,0.008,0.022139000574382534,0.030139000574382534,0.12269835404939758,0.613491770246988,1
MOODENGUSDT,2025-12-08 03:30:00+00:00,2025-12-08 08:30:00+00:00,5.0,3099.60774,0.20175461051646126,5,1,0.040350922103292254,-0.15519869117387008,2,4,-0.07759934558693504,0.04655591934259118,0.2327795967129559,-0.5371772270040448,0.4935308848080131,-0.043646342196031626,0.008,0.02086607375045509,0.02886607375045509,-0.07592850360430765,-0.37964251802153826,1
AIAUSDT,2025-12-08 13:30:00+00:00,2025-12-09 00:25:00+00:00,10.916666666666666,2691.48372,-0.03612675321352421,11,1,-0.0032842502921385645,0.17283450137069756,11,1,0.015712227397336142,0.13670774815717335,0.6835387407858667,-0.42232722976964077,0.342767295597485,-0.07955993417215579,0.008,0.02115565031982942,0.02915565031982942,-0.09957552933292797,-0.49787764666463985,1
LUNA2USDT,2025-12-09 00:30:00+00:00,2025-12-09 12:20:00+00:00,11.833333333333334,2953.88076,1.3075001479931279,12,1,0.10895834566609398,-0.5709996627830703,12,1,-0.04758330523192253,0.7365004852100575,3.6825024260502874,1.4590113125677968,-1.5134582087202895,-0.05444689615249274,0.008,0.02526924878962986,0.03326924878962986,0.6407605195689501,3.20380259784475,1
LUNA2USDT,2025-12-09 20:30:00+00:00,2025-12-10 04:40:00+00:00,8.166666666666666,2605.0488,0.11926381135637082,8,1,0.014907976419546352,-0.09834598307200487,8,1,-0.012293247884000609,0.020917828284365947,0.10458914142182975,-0.6915344556134196,0.626416018614905,-0.06511843699851454,0.008,0.020549855381336583,0.028549855381336583,-0.15255515086010007,-0.7627757543005004,1
AXLUSDT,2025-12-10 07:30:00+00:00,2025-12-10 10:50:00+00:00,3.3333333333333335,5438.03061,0.29826501062801936,3,1,0.09942167020933979,-0.11200526570048308,1,4,-0.11200526570048308,0.18625974492753627,0.9312987246376813,-0.16404647983595444,-0.02787456445993111,-0.19192104429588552,0.008,0.021848171152518983,0.029848171152518983,-0.2300618561766769,-1.1503092808833846,1
SUPERUSDT,2025-12-10 11:40:00+00:00,2025-12-11 00:05:00+00:00,12.416666666666666,2781.40512,0.4609152069072699,13,1,0.03545501591594384,-0.23611783491624938,13,1,-0.01816291037817303,0.2247973719910205,1.1239868599551026,-0.5106237148732017,0.39331709014966854,-0.11730662472353316,0.008,0.021004662407183565,0.029004662407183565,-0.05286900687273703,-0.26434503436368517,1
LRCUSDT,2025-12-11 00:30:00+00:00,2025-12-11 04:50:00+00:00,4.333333333333333,12418.60524,0.8216862023760494,4,1,0.20542155059401235,-0.3595723616664027,4,1,-0.08989309041660068,0.4621138407096467,2.3105692035482335,-0.3394581127374652,0.17730496453900657,-0.16215314819845858,0.008,0.02142848091240298,0.02942848091240298,0.09053424305401395,0.4526712152700697,1
LUNA2USDT,2025-12-11 04:55:00+00:00,2025-12-11 05:05:00+00:00,0.16666666666666666,2799.11784,0.09088180266065184,1,1,0.09088180266065184,-0.0195811167004235,1,1,-0.0195811167004235,0.07130068596022834,0.3565034298011417,-0.08346709470304922,0.06376195536663218,-0.019705139336417054,0.008,0.021837967225188732,0.029837967225188732,0.0009545250322253902,0.004772625161126951,1
NIGHTUSDT,2025-12-11 05:30:00+00:00,2025-12-11 06:25:00+00:00,0.9166666666666666,2566.22229,0.09992462409090909,1,1,0.09992462409090909,0.0,0,4,0.0,0.09992462409090909,0.4996231204545455,-0.8665543702040045,0.7667241709794909,-0.09983019922451364,0.008,0.020202083333333336,0.028202083333333336,-0.1669138228787847,-0.8345691143939235,1
LRCUSDT,2025-12-11 06:30:00+00:00,2025-12-11 08:15:00+00:00,1.75,4624.04484,0.20482213154362416,2,1,0.10241106577181208,-0.1613636196868009,2,1,-0.08068180984340045,0.043458511856823256,0.21729255928411628,-0.04260898066207741,0.056980056980056974,0.014371076317979554,0.008,0.021890628883917476,0.029890628883917476,0.04008209293230711,0.20041046466153556,1
LUNA2USDT,2025-12-11 08:30:00+00:00,2025-12-11 10:20:00+00:00,1.8333333333333333,9506.14176,0.33321746637848226,2,1,0.16660873318924113,-0.14029973305388174,2,1,-0.07014986652694087,0.19291773332460052,0.9645886666230026,-0.5558190677417969,0.45637465174899383,-0.09944441599280314,0.008,0.020885206532180595,0.028885206532180595,-0.0604020204086994,-0.302010102043497,1
LRCUSDT,2025-12-11 10:35:00+00:00,2025-12-11 12:45:00+00:00,2.1666666666666665,2551.68288,0.45173649828921886,2,1,0.22586824914460943,-0.22991753457069072,2,1,-0.11495876728534536,0.22181896371852813,1.1090948185926406,0.5886085990798017,-0.7472491377894562,-0.15864053870965442,0.008,0.02346642995480955,0.031466429954809555,-0.08079013892834325,-0.40395069464171623,1
LUNA2USDT,2025-12-11 13:30:00+00:00,2025-12-12 01:10:00+00:00,11.666666666666666,7872.12144,0.835026830659748,12,1,0.06958556922164567,-0.6531599247739066,12,1,-0.054429993731158886,0.18186690588584142,0.9093345294292071,-1.6625298097045806,1.4611253325302416,-0.2014044771743393,0.008,0.01856056338028169,0.02656056338028169,-0.3438288193427256,-1.719144096713628,1
AXLUSDT,2025-12-12 07:30:00+00:00,2025-12-12 09:35:00+00:00,2.0833333333333335,3973.61265,0.15649640842556226,2,1,0.07824820421278113,-0.06263880085683683,1,4,-0.06263880085683683,0.09385760756872542,0.4692880378436271,0.5815602836879442,-0.6326383896477357,-0.051078105959791474,0.008,0.023335237415208855,0.031335237415208855,-0.023161314244911094,-0.11580657122455547,1
LUNA2USDT,2025-12-12 09:40:00+00:00,2025-12-13 08:10:00+00:00,22.5,5694.60444,1.1605686175550254,23,1,0.05045950511108806,-0.6991353826099767,23,1,-0.030397190548259855,0.46143323494504873,2.3071661747252437,0.8007231585700116,-0.9391376846117185,-0.13841452604170695,0.008,0.02391225433866643,0.03191225433866643,0.1890896184566447,0.9454480922832236,1
LRCUSDT,2025-12-13 10:30:00+00:00,2025-12-13 12:35:00+00:00,2.0833333333333335,2840.06208,0.09376433679382311,2,1,0.046882168396911554,-0.07142713636572129,2,1,-0.035713568182860644,0.02233720042810182,0.1116860021405091,-0.30248033877797964,0.23187509661462383,-0.07060524216335584,0.008,0.021411359987768525,0.029411359987768525,-0.15996766923018127,-0.7998383461509063,1
TNSRUSDT,2025-12-13 15:30:00+00:00,2025-12-13 20:10:00+00:00,4.666666666666667,3900.94188,0.13773954691951984,5,1,0.027547909383903967,-0.10226182080433462,5,1,-0.020452364160866925,0.035477726115185224,0.1773886305759261,-0.11330918547413381,0.0375869197519261,-0.0757222657222077,0.008,0.021833527955532717,0.029833527955532717,-0.14756239719744055,-0.7378119859872028,1
FOLKSUSDT,2025-12-13 20:30:00+00:00,2025-12-15 03:05:00+00:00,30.583333333333332,8379.9036,4.210942125244479,31,1,0.1358368427498219,-2.575027525339629,31,1,-0.08306540404321384,1.6359145999048499,8.17957299952425,-0.6592952361268982,0.44188730971791407,-0.21740792640898413,0.008,0.02078318326784487,0.02878318326784487,1.1215183212940298,5.607591606470149,1
BEATUSDT,2025-12-15 03:30:00+00:00,2025-12-15 08:30:00+00:00,5.0,5267.5632,1.4418132680639117,5,1,0.28836265361278235,-0.7279900844782369,5,1,-0.1455980168956474,0.7138231835856749,3.5691159179283742,1.7933486536877257,-1.7304589458587323,0.06288970782899347,0.008,0.02587733333333334,0.03387733333333334,0.9223700926765829,4.611850463382915,1
WETUSDT,2025-12-15 08:35:00+00:00,2025-12-16 00:15:00+00:00,15.666666666666666,13140.0,2.259528737775976,16,1,0.1412205461109985,-0.4541454330028382,4,4,-0.11353635825070955,1.8053833047731376,9.026916523865689,-2.0650041028934316,1.6292456066786105,-0.43575849621482093,0.008,0.01792045999041687,0.02592045999041687,0.6633963525782319,3.3169817628911593,1
FOLKSUSDT,2025-12-16 00:30:00+00:00,2025-12-16 10:05:00+00:00,9.583333333333334,7175.00064,1.2476682828687102,10,1,0.12476682828687102,-0.671501231116252,10,1,-0.0671501231116252,0.5761670517524582,2.880835258762291,-1.7220889041252427,1.6266541749619385,-0.09543472916330416,0.008,0.018315095430884908,0.026315095430884908,0.27686178859456273,1.3843089429728137,1
PIPPINUSDT,2025-12-16 10:30:00+00:00,2025-12-16 11:00:00+00:00,0.5,11978.97588,0.12098189013793911,1,1,0.12098189013793911,-0.0987567641422145,1,1,-0.0987567641422145,0.022225125995724612,0.11112562997862308,-0.09963995645985067,-0.03415846935466372,-0.1337984258145144,0.008,0.021925595839492915,0.029925595839492915,-0.2774102340604277,-1.3870511703021384,1
PIPPINUSDT,2025-12-16 11:30:00+00:00,2025-12-17 01:05:00+00:00,13.583333333333334,4938.43248,6.001626524104693,14,1,0.42868760886462093,-3.127090633946675,14,1,-0.2233636167104768,2.874535890158018,14.372679450790088,-3.0938281352809587,3.0754178006702797,-0.018410334610679157,0.008,0.015213574228509878,0.02321357422850988,2.6589911331815674,13.294955665907837,1
ORCAUSDT,2025-12-17 02:35:00+00:00,2025-12-17 06:25:00+00:00,3.8333333333333335,3838.64952,0.128763391688771,4,1,0.03219084792219275,-0.07769743271441203,4,1,-0.019424358178603007,0.05106595897435896,0.25532979487179486,-0.2114537444933923,0.16858917480035407,-0.04286456969303821,0.008,0.021581786030061893,0.029581786030061893,-0.06693315685234512,-0.33466578426172555,1
OMUSDT,2025-12-17 06:30:00+00:00,2025-12-17 08:25:00+00:00,1.9166666666666667,5489.25471,0.28556803109540635,2,1,0.14278401554770317,-0.1906644261484099,1,4,-0.1906644261484099,0.09490360494699646,0.4745180247349823,0.025106703489832502,-0.005074854097944477,0.020031849391888026,0.008,0.02203331650681474,0.03003331650681474,0.10525393306411089,0.5262696653205544,1
PIPPINUSDT,2025-12-17 09:30:00+00:00,2025-12-18 00:30:00+00:00,15.0,2767.97604,0.6110460580517579,15,1,0.0407364038701172,-0.3882466773828125,15,1,-0.025883111825520833,0.22279938066894545,1.1139969033447272,-0.34442714896350535,0.5315221849591043,0.18709503599559887,0.008,0.021034008789062506,0.029034008789062506,0.588784903129885,2.943924515649425,1
BEATUSDT,2025-12-18 03:35:00+00:00,2025-12-18 09:20:00+00:00,5.75,2659.74624,0.5937746127015384,6,1,0.0989624354502564,-0.33846312184615385,6,1,-0.05641052030769231,0.25531149085538457,1.276557454276923,1.1598095470638512,-1.0646482193820577,0.09516132768179357,0.008,0.024447753846153848,0.03244775384615385,0.44932527547076967,2.246626377353848,1
BEATUSDT,2025-12-18 15:30:00+00:00,2025-12-18 19:35:00+00:00,4.083333333333333,7595.6646,0.7032145593710143,4,1,0.17580363984275357,-0.450809683347602,4,1,-0.1127024208369005,0.2524048760234123,1.2620243801170614,-0.6253853003630382,0.3088775546599145,-0.3165077457031236,0.008,0.020965248536734517,0.028965248536734517,-0.4474785170053264,-2.2373925850266323,1
WCTUSDT,2025-12-18 21:55:00+00:00,2025-12-18 23:20:00+00:00,1.4166666666666667,3326.69103,0.18487439315682286,2,1,0.09243719657841143,0.0,0,4,0.0,0.18487439315682286,0.9243719657841144,-0.12761955937668007,-0.027449903925337055,-0.15506946330201712,0.008,0.021887983706720984,0.029887983706720984,-0.15730143847929726,-0.7865071923964863,1
BEATUSDT,2025-12-18 23:30:00+00:00,2025-12-19 00:05:00+00:00,0.5833333333333334,8281.84416,0.09621722872005103,1,1,0.09621722872005103,-0.11490584684702106,1,1,-0.11490584684702106,-0.018688618126970022,-0.09344309063485011,-1.0062272174969626,0.8310675020688029,-0.17515971542815995,0.008,0.019975402703382127,0.027975402703382127,-0.46512746329162913,-2.3256373164581454,1
FUSDT,2025-12-19 00:30:00+00:00,2025-12-19 01:05:00+00:00,0.5833333333333334,3456.90405,0.12240501892303011,1,1,0.12240501892303011,0.0,0,4,0.0,0.12240501892303011,0.6120250946151506,0.045276184726833146,-0.05519779208831581,-0.009921607361482659,0.008,0.02211043504715546,0.03011043504715546,0.07404085707331934,0.37020428536659666,1
FUSDT,2025-12-19 01:30:00+00:00,2025-12-19 06:55:00+00:00,5.416666666666667,4403.5425,0.6782897824751066,5,1,0.13565795649502133,-0.28925249274537695,1,4,-0.28925249274537695,0.3890372897297297,1.9451864486486483,0.6410618469358944,-0.5216394382344509,0.11942240870144358,0.008,0.023279943100995733,0.03127994310099573,0.6138028658321498,3.069014329160749,1
BEATUSDT,2025-12-19 07:30:00+00:00,2025-12-19 08:50:00+00:00,1.3333333333333333,2568.9576,0.1306360749642458,1,1,0.1306360749642458,-0.11325715794918009,1,1,-0.11325715794918009,0.01737891701506572,0.0868945850753286,-1.2679077606680456,1.1059870874603996,-0.16192067320764583,0.008,0.019384636482965345,0.027384636482965345,-0.4425821746135622,-2.212910873067811,1
BEATUSDT,2025-12-19 09:30:00+00:00,2025-12-19 16:30:00+00:00,7.0,2524.14144,0.3151856246237275,7,1,0.04502651780338964,-0.0946018716974195,7,1,-0.013514553099631357,0.220583752926308,1.10291876463154,-1.2964940794056192,1.396470160116448,0.0999760807108288,0.008,0.01903660470139479,0.027036604701394792,0.44906772544405743,2.245338627220287,1
SOONUSDT,2025-12-19 17:30:00+00:00,2025-12-19 18:05:00+00:00,0.5833333333333334,10008.49272,0.13401494890297413,1,1,0.13401494890297413,-0.06778978493417845,1,1,-0.06778978493417845,0.06622516396879569,0.33112581984397843,-0.023963575365444547,-0.23567353014140435,-0.2596371055068489,0.008,0.02222793759141882,0.03022793759141882,-0.47594816611409113,-2.379740830570456,1
SOPHUSDT,2025-12-19 19:30:00+00:00,2025-12-19 20:05:00+00:00,0.5833333333333334,13204.50426,0.33493856060265353,1,1,0.33493856060265353,-0.3909601978862155,1,4,-0.3909601978862155,-0.056021637283561965,-0.2801081864178098,-0.2638812534359545,0.1081329805590689,-0.15574827287688556,0.008,0.021586912525297958,0.029586912525297958,-0.413919770856762,-2.06959885428381,1
SOPHUSDT,2025-12-19 20:30:00+00:00,2025-12-19 22:10:00+00:00,1.6666666666666667,5925.11508,0.28265519839374864,2,1,0.14132759919687432,-0.1969005035815064,2,1,-0.0984502517907532,0.08575469481224224,0.4287734740612112,-0.7438894792773637,0.5339321357285421,-0.20995734354882156,0.008,0.020589483394833956,0.028589483394833956,-0.4171130607770782,-2.085565303885391,1
